"FoodNumber","FoodGroupCode","FoodName","FoodCategory","Base","Units","Description","Dilution","Comment","EdiblePortion","ACAR","ALCO","BCAR","BCRYPT","BIOT","CA","CHO","CHOL","CL","CMON","CN3","CN6","CU","ENGFIB","FAT","FE","FOLT","FRUCT","GLUC","HFE","I","K","KCALS","KJ","LACT","MALT","MG","MILK","MN","NA","NCF","NHFE","NIACEQU","NMILK","OSUG","P","PANTO","PROT","RET","RIBO","SATFA","SE","STAR","SUCR","THIA","TOTCAR","TOTNIT","TOTSUG","TRANS","VITA","VITB12","VITB6","VITC","VITD","VITE","WATER","ZN","Fruit","DriedFruit","FruitJuice","SmoothieFruit","Tomatoes","TomatoPuree","Brassicaceae","YellowRedGreen","Beans","Nuts","OtherVeg","Beef","Lamb","Pork","ProcessRedMeat","OtherRedMeat","Burgers","Sausages","Offal","Poultry","ProcessedPoultry","GameBirds","WhiteFish","OilyFish","CannedTuna","Shellfish","CottageCheese","CheddarCheese","OtherCheese","AllCheese","AllFish","AllMeat","AllAnimal","CO2e","CO2eRef","FoodAisle"
"2226","41R","MIXED PEEL","F","100","Grams"," ","1"," ","1","0","0","0","0","0","130","59.1","0","0",".13",".08",".28",".15","4.8",".9","1.3","0","4.5","19.9","0","0","21","231","984","0","25.6","12","4.5",".1","280","6.25","1.3",".1","54.6","0","6","0",".3","0","0",".22","0","0","9.1","0","0","0","59.1","0","0","0","0","0","0","0","20.9",".2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Jam, marmalade, other preserves, sweet spreads"
"2227","41R","ICE-CREAM TOPPING SAUCE (NOT ICE MAGIC)","F","100","Grams"," ","1"," ","1","0","0","0","0","0","9","53.9","1","42",".06","0",".01",".09","0",".2",".8","0","15.9","17.1","0","1","68","207","883","0","0","15","0",".14","100","6.25",".8","0","51","0","26","0",".8","0","0",".12","0","2.9","18","0","0",".1","51","0","0","0","0","0","0","0","40.6",".1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Jam, marmalade, other preserves, sweet spreads"
"2240","40A","PEARS EATING RAW FLESH & SKIN ONLY NO CORE","F","100","Grams","Updated for RP yr 6 p2 based on F&V analytical survey composite sample 42  05/08/2014 JM","1","NDNS RP Yr 6 Phase 2: Updated 05/08/2014 JM","1","0","0","14","0","0","7","10.9","0","64",".01",".04",".01",".05","1.6",".1",".1","6","6.6","3.1","0","1","105","43","182","0","0","5","10.9",".05","1","6.25",".1",".3","0","0","9",".1",".3","0",".04",".02","0","0","1.2",".03","14",".1","10.9","0","2","0","0","3.1","0",".1","85.2",".1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,120.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Fruit, fruit juice"
"2241","40A","PEARS EATING RAW FLESH & SKIN WEIGHED WITH CORE","F","100","Grams","Updated for NDNS RP yr 6 p3  based on F&V analytical survey composite sample 42 and EDP","1","NDNS RP Yr 6 Phase 3: Updated 12/08/2014 JM","1","0","0","12","0","0","6","9.3","0","55",".01",".03",".01",".04","1.4",".1",".1","5","5.6","2.6","0","1","89","37","156","0","0","5","9.3",".04","1","6.25",".1",".2","0","0","8",".1",".3","0",".03",".02","0","0","1",".03","12","0","9.3","0","2","0","0","2.6","0",".1","72.4",".1","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,120.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Fruit, fruit juice"
"2251","43R","BOILED SWEETS BARLEY SUGAR BUTTERSCOTCH GLACIER MINTS HARD C","F","100","Grams","Updated for Yr 3 RP - Manu data from 9 products, 5 brands SKD 04/06/10","1","Updated for Yr 3 RP SKD 04/06/10 (CHO profile & Energy)","1","0","0","0","0","0","5","99","0","68","0","0","0",".09","0","0",".4","0","1.6","9.7","0","0","8","371","1584","0","10.6","2","0",".02","25","6.25",".4","0","99","0","12","0","0","0","0","0","0","0","77.1","0","0","0","99","0","0","0","0","0","0","0","10.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Sugar, sweets"
"2252","44R","BOUNTY BAR BOOST BAR CABANA COCONUT ICE RUFFLE BAR","F","100","Grams"," ","1","Fibre values updated using M&W 7 08/01/2015 NZ","1","0","0","40","0","3","110","58.3","19","400","3.05",".02",".37",".47","3.2","26.1","1.3","4",".1","3.5","0","6","320","473","1980","2.6","3.2","43","2.6","2.29","180","6.25","1.3","1.1","51.1","0","140",".6","4.8","0",".1","21.05","2","4.6","44.2",".04","40",".8","53.7",".12","7","0","0","0","0",".5","7.6",".1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,933.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Chocolate"
"2253","43R","CHEWING GUM NOT SUGAR FREE","F","100","Grams"," ","1"," ","1","0","0","0","0","0","2","77","0","0","0","0","0",".02","0","0","0","0","0","0","0","0","2","289","1232","0","0","0","0",".02","0","6.25","0","0","77","0","0","0","0","0","0","0","1","0","77","0","0","0","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Sugar, sweets"
"2254","44R","MILK CHOCOLATE BAR","F","100","Grams","Original data LGC 1992 toddlers food project sample 8_x000D_-NDNS RP year 3: analytical data trans project composite sample 45.Micrs upd Phs2 NDNSRPY4 usd dta Trn anl svy smp 45  HO.11.04.12","1","NDNS RP year 2 updated all macronutrients. GS 24/06/10..Micrs upd Phs2 NDNSRPY4 usd dta Trn anl svy smp 45  HO.11.04.12","1","0","0","22","0","2","226","56","22","190","9.44",".1","1.03",".31","1.3","31.1","2.1","9","0","0","0","51","451","519","2171","9.2","0","57","9.2",".3","89","6.38","2.1","2.7","46.8","0","224",".7","7.3","66",".53","18.71","3","0","46.8",".12","22","1.1","56",".16","70","2.1",".2","0","0",".4","1.6","1.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,933.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Chocolate"
"2255","44R","DARK CHOCOLATE NO ADDITIONS, LESS THAN 50% COCOA SOLIDS EG BOURNVILLE","F","100","Grams","Updated for RP yr 5 26/06/2013","1","mw6 1051_x000D_-updated 25/04/05_x000D_-Name change fror RP yr 5 26/06/2013","1","0","0","15","0","3","33","63.5","6","9","8.91",".08",".96",".71","2.5","28","2.3","12","0","0","0","3","300","510","2137",".2","0","89",".2",".63","6","6.25","2.3","1.1","62.4","0","140",".3","5","15",".06","16.76","4",".9","62.4",".04","15",".8","62.6",".05","18","0","0","0","0","1.4",".6","1.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,437.0,"Average of CO2e values for Cows Milk from From Clune et al 2017, multiplied by3.1278","Chocolate"
"2256","44R","CHOCOLATE COVERED CARAMELS CADBURYS CARAMEL","F","100","Grams","NDNS RP year 2 analytical data trans project composite sample 46.Micrs, CHO profile, energy upd Phs2 NDNSRPY4 usd dta Trn anl svy smp HO.11/04/12","1","mw6 1048 updated 25/04/05 NDNS RP year 3 updated all macronutrients.  GS 24/06/10. Micrs, CHO profile, energy upd Phs2 NDNSRPY4 usd dta Trn anl svy smp 46 HO.11/04/12_x000D_-","1","0","0","15","0","2","154","70.2","13","280","7.42",".07","1.01",".17",".3","23.6","1.3","4","0","4.7","0","40","297","493","2068","7.5","4.2","37","7.5",".2","160","6.38","1.3","1.3","62.7","14.3","156",".6","4.2","90",".3","13.78","2","0","39.6",".02","15",".7","70.2",".1","93","0","0","0","0","1.5","4.8",".8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,933.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Chocolate"
"2257","44R","DARK CHOCOLATE WITH CREME OR MINT FONDANT CENTRE EG.AFTER EIGHTS","F","100","Grams","NDNS RP year 3: analytical data from trans project composite sample 47.Micrs, CHO profile, Englyst, energy upd Phs2 NDNSRPY4 usd dta Trn anl svy smp 47 HO 11/04/12","1","Updated trans, MD, Nov09.NDNS RP year 3: updated all macronutrients. GS 24/06/10..Micrs CHO profile, Englyst, energy upd Phs2 NDNSRPY4 usd dta Trn anl svy smp 47 HO 11/04/12","1","0","0","15","0","2","49","71.9","3","30","5.1",".04",".5",".06","1.9","16.3",".7","1","2.4","4","0","8","389","431","1816","0","0","13","0",".1","6","6.38",".7","1.1","71.9","9","104","0","3.7","74",".01","9.8","3","0","56.5",".16","15",".6","71.9",".01","77","0",".3","0","0","1.5","5.4",".6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,933.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Chocolate"
"2258","44R","CHOCOLATE BAR WITH NUTS","R","100","Grams"," ","1"," ","1","0","0","20","0","9","227","51.1","20","173","12.31",".12","1.95",".38","1.9","33.6","2.2","13","0","0","0","46","484","528","2207","8.3","0","78","8.7",".44","82","6.26","2.2","3.1","42.1","0","257",".7","8.7","59",".55","17.28","3",".3","42.5",".13","20","1.4","50.8",".14","63","1.9",".2","0","0","2.8","1.9","1.3","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,933.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Chocolate"
"2259","43R","FRUIT GUMS WINEGUMS","F","100","Grams","Updated based on 7 products, 5 brands 16.06.11 RS","1","Protein, fat profile and energy updated 16.06.11 RS","1","0","0","0","0","0","5","79.5","0","370","0","0","0",".02","0",".2",".1","0","0","6.3","0","7","8","324","1382","0","6","1","0","0","30","6.25",".1","0","77.6","18.9","4","0","6","0","0",".19","0","1.9","46.4","0","0","1","77.6","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Sugar, sweets"
"2260","43R","HALVA","F","100","Grams","Updated for Yr 3 RP - Manu data from 1 product, cypressa brand SKD 04/06/10","1","Updated for Yr 3 RP SKD 04/06/10 (Energy, Fat profile, Protein CHO profile)","1","0","0","20","0","1","113","45.8","0","301","11.74",".24","13.83","1.4","3.7","31.1","5.7","48","0","0","0","5","185","506","2114",".1","0","172","0","2.35","195","6.25","5.7","4.8","30.6",".2","220","0","13.5","0",".13","4.36","0","15.2","30.4",".34","20","2.2","30.6","0","3","0",".4","0","0","2.2","2.4","4.4","0","0","0","0","0","0","0","22.22","0","1.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Sugar, sweets"
"2262","43R","ICE LOLLIES, JUICE BASED, NOT FORTIFIED WITH VITAMIN C","F","100","Grams"," ","1","Ice creams & desserts project, ADAS 1998, sample 29. Updated 07/07/08 EF for RP with a market sample of iced lollies containing 22-63% juice. Average 34% juice form concentrate","1","0","0","170","0","0","5","24.1","0","114",".03","0","0","0","0",".1","0","5",".9","1","0","0","28","92","391","0","0","2","0",".01","11","6.25","0",".1","21.1",".8","3","0",".1","0","0",".03","0","3","18.4",".04","170","0","21.1","0","28","0","0","57","0","0","77.8","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Sugar, sweets"
"2263","43R","LIQUORICE ALLSORTS","F","100","Grams"," ","1"," ","1","0","0","0","0","0","170","76.6","0","25",".63",".01",".15",".34","0","5.2","7.3","0","2.5","5.9","0","0","600","349","1481","0","2.9","76","0","1.14","57","6.25","7.3",".2","67.3","4.9","44","0","3.7","0","0","3.61","1","9.3","51.1","0","0",".6","67.3",".56","0","0","0","0","0","0","8.4",".5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Sugar, sweets"
"2264","43R","MARSHMALLOWS","F","100","Grams"," ","1"," ","1","0","0","0","0","0","4","83.1","0","36","0","0","0","0","0","0",".3","0",".7","12.1","0","0","2","327","1396","0","10.2","2","0","0","29","6.25",".3","0","78.6","14.1","4","0","3.9","0","0","0","2","4.5","41.5",".13","0",".6","78.6","0","0","0","0","0","0","0","17.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Sugar, sweets"
"2265","44R","MARS BAR & OWN BRAND EQUIVALENTS","F","100","Grams","Update based on the trans analytical project, sample 60 for RP yr 5. NP 26/04/2013","1","mw6 1055_x000D_-updated 26/04/05_x000D_-All nutrients updated form sample 60 fro yr 5 RP trans analytical project. NP 26/04/2013","1","3","0","13","0","2","118","66.6","10","346","6.35",".04",".77",".18",".8","15.3","1.7","5",".3","7.8","0","16","269","404","1703","8.7","7.8","35","8.7",".22","174","6.38","1.7","1.4","54.6","0","125",".5","4.1","33",".2","7.31","1","3.3","38.7",".17","15",".6","63.3",".05","35",".5","0","0",".1","2","7.1",".6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,437.0,"Average of CO2e values for Cows Milk from From Clune et al 2017, multiplied by3.1278","Chocolate"
"2266","43R","NUT & SUGAR SWEETS","F","100","Grams","Updated for Yr 3 RP - Based on 3 products, 3 brands SKD 07/06/10","1","Updated for Yr 3 RP SKD 07/06/10 (Protein, Fat profile, CHO profile, Energy, NaCl)","1","0","0","0","0","0","130","58.8","0","930","12.16",".02","5.01",".11","3.7","26.8","2.3","48",".9","5.3","0","5","435","506","2121","0","6","130","0",".95","400","6.25","2.3","4.3","56.6",".4","225",".2","11.1","0",".46","8.43","1","2.1","44.2",".03","0","1.8","56.7","0","0","0",".1","0","0","10","8.3","1.6","0","0","0","0","0","0","0","0","0","36.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Sugar, sweets"
"2267","43R","JELLY TOTS FRUIT PASTILLES","F","100","Grams"," ","1"," ","1","0","0","57","0","0","28","84.2","0","29","0","0","0",".04","0","0",".4","0","2.1","6.5","0","7","28","327","1395","0","5.3","6","0","0","33","6.25",".4","0","80.8","21.5","4","0","2.8","0","0","0","0","3.4","45.4","0","57",".4","80.8","0","10","0","0","0","0","0","9.1","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Sugar, sweets"
"2269","43R","POPCORN SWEET","F","100","Grams","Updated for Yr 3 RP - Based on 3 products, 3 brands SKD 07/06/10","1","Updated for Yr 3 RP SKD 07/06/10 (protein, fat profile, CHO profile, energy, fibre)","1","0","0","98","0","1","6","62.9","18","101","10.94","1.78","6.49","0","8.3","23.7",".4","3","0","0","0","3","75","472","1982","0","0","26",".1",".32","56","6.25",".4",".5","19.8","0","58",".1","5.8","52",".04","3.17","4","43","19.9",".06","98",".9","19.9",".25","68","0",".1","0","0","3.7","2.6",".7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Sugar, sweets"
"2270","43R","FIZZERS LOVE HEARTS PARMA VIOLETS","F","100","Grams"," ","1"," ","1","0","0","0","0","0","42","93.9","0","6","0","0","0",".04","0","0",".2","0","0",".2","0","0","15","354","1513","0","0","69","0",".02","1050","6.25",".2","0","93.9","0","0","0",".6","0","0","0","1","0","93.7","0","0",".1","93.9","0","0","0","0","0","0","0",".2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Sugar, sweets"
"2271","43R","DOLLY MIXTURES","F","100","Grams","Changed to atomic F code for Yr 3 RP. Orig rec: 2202 (21.28), 754 (14.89), 2205 (63.83). Based on 2 products, 2 brands SKD 07/06/10","1","Changed to atomic code for Yr 3 RP. Changed name from peppermint creams dolly mixtures & updated protein, fat profile, CHO profile SKD 07/06/10","1","0","0","0","0","1","6","92.4","0","66",".4",".01",".03",".1","0","1.6",".2","2","2.3","5.4","0","0","26","366","1559","0","6.5","3","0","0","63","6.25",".2",".4","92.4","9","7","0","1.4","0",".06",".75","1","0","69.2","0","0",".2","92.4",".3","0","0","0","0","0","0","17.5",".1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Sugar, sweets"
"2272","43R","MIXED TOFFEES TOFFOS LIQUORICE TOFFEES","F","100","Grams","NDNS RP yr 3 - analytical data from trans project composite sample 43.Micrs, CHO porfile, Energy upd Phs2 NDNSRPY4 usd dta Trn anl svy smp 43 HO.11.04.12","1","Trans reduced by MD, Nov09. NDNS RP year 3 updated all macronutrients GS 24/06/10.Micrs, CHO profile, Energy  upd Phs2 NDNSRPY4 usd dta Trn anl svy smp 43 HO.11.04.12","1","0","0","0","0","0","85","62.9","17","460","5.26",".05","1.05",".04","0","15.9",".3","1","0","5.8","0","20","132","387","1630","0","3.3","11","0","0","312","6.25",".3",".7","62.9","23.8","65",".2","2.1","0","0","8.6","1","0","29.9","0","0",".3","62.9",".07","0",".2","0","0","0","0","4",".3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Sugar, sweets"
"2273","44R","TURKISH DELIGHT","F","100","Grams"," ","1"," ","1","0","0","0","0","0","10","77.9","0","110","0","0","0",".12","0","0",".2","0","0","0","0","0","4","295","1257","0","0","2","0",".02","31","6.25",".2","0","68.6","0","7","0",".6","0","0","0","0","9.3","68.6",".13","0",".1","68.6","0","0","0","0","0","0","0","16.1",".7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,933.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Chocolate"
"2275","44R","MALTESERS AND SIMILAR PRODUCTS","F","100","Grams","NDNS RP YEAR 3: analytical data from trans project composite sample 49..Micrs upd Phs2 NDNSRPY4 usd dta Trn anl svy smp 49  HO.11/04/12_x000D_-_x000D_-","1","NDNS RP year 3: updated all macronutrients GS 24/06/10..Micrs upd Phs2 NDNSRPY4 usd dta Trn anl svy smp 49  HO.11/04/12_x000D_-","1","0","0","0","0","5","266","63","12","270","6.94",".06",".9",".2",".4","23.3","2","14","0","2.3","0","53","565","476","1998","14.2","2.1","50","14.2",".2","156","6.38","2","2","41.3","0","269",".8","7.6","48",".47","14.16","5","7.5","36.9",".04","0","1.2","55.5",".07","48","1.3",".1","0","0",".8","1.8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,933.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Chocolate"
"2276","44R","MILK CHOCOLATE COVERED CARAMEL AND BISCUIT FINGERS EG TWIX, DRIFTER, MUNCHIES","F","100","Grams","NDNS RP year 3: analytical data from trans project composite sample 50.Micrs, CHO profile, energy upd Phs2 NDNSRPY4 usd dta Trn anl svy smp 50 HO.11/04/12","1","Trans updated by MD (Nov09)NDNS RP year 3: updated all macronutrients GS 24/06/10._x000D_-Micrs, CHO profile, energy upd Phs2 NDNSRPY4 usd dta Trn anl svy smp 50 HO.11/04/12","1","0","0","12","0","2","100","70","10","310","7.49",".05","1.27",".13","1.5","23.6","1.6","4","0","4.5","0","16","242","495","2079","5.8","3.5","30","5.8",".3","191","6.38","1.6","1.2","52","12.4","118",".4","5","33",".23","13.52","1","12.2","31.6",".03","12",".8","57.8",".05","35",".5","0","0",".3","1.3","3.6",".6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,933.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Chocolate"
"2277","44R","KIT KAT","F","100","Grams"," ","1","M+W6 1054_x000D_-updated 20/04/05 Updated for NDNS RP Yr2 (MS) 26/06/09 using analytical data from N10039/ sample 17. Updated I for NDNS  RP yr2 08/04/10 EF","1","0","0","47","0","14","167","61.1","16","71","7.25",".1","1.12",".27","1.4","28.6","2.4","11","0","0","0","22","340","509","2130","6.9","0","41","6.8",".35","90","6.25","2.4","2","38.3","0","151",".8","5.5","8",".2","17.5","4","16.1","38.2",".07","47","1","45.1",".55","16","0",".1","0","0",".8","2.6",".8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,933.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Chocolate"
"2278","44R","WISPA","F","100","Grams"," ","1"," ","1","0","0","11","0","4","215","62.3","64","185","11.71",".14","1.59",".24",".8","35.4","1.4","11","0","0","0","30","385","582","2432","7.4","0","50","7.4",".22","85","6.25","1.4","2.7","52","0","220",".7","7.4","24",".49","19.9","4","2.9","52.1",".07","11","1.2","59.4",".37","26","1","0","0","0",".5","1.3","1.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,933.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Chocolate"
"2279","43R","LUCOZADE TABLETS","F","100","Grams","Updated for Yr 3 RP - Based on 1 product SKD 07/06/10","1","Updated for Yr 3 RP (fat profile, CHO profile, fibre, energy) SKD 07/06/10","1","0","0","0","0","0","8","88","0","190","0","0","0",".09",".2",".9",".5","0","0","88","0","3","3","338","1441","0","0","2","0",".02","150","6.25",".5","0","88","0","11","0","0","0","0",".9","0","0","0","0","0","0","88","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Sugar, sweets"
"2280","43R","ASIAN SWEETS","R","100","Grams"," ","1"," ","1","0","0","48","0","3","82","36.6","18","57","5.2",".09","2.6",".16",".9","13.8",".8","12","0","0","0","18","244","280","1177","2.2","0","27","3",".25","24","6.18",".8","1.3","30.6","0","110",".4","4.5","43",".14","4.92","2","3","31.4",".12","48",".8","33.6",".21","51",".4",".1",".5",".08",".8","43.9",".6","0","0","0","0","0","0","0","0","0","14.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,38.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Sugar, sweets"
"2301","50A","NESTLE MILO CHOC MALT DRINK FORTIFIED","F","100","Grams"," ","11","Vitamin D updated 20.06.11 RS.","1","0","0","0","0","2","60","81.3","18","70",".81",".03",".06",".64","0","3.3","12.5","373",".2","2.6","0","32","330","356","1515","2.2","8.7","221","2.2","0","190","6.25","12.5","13.1","51.1","11.4","250","9.3","5.4","839",".84","2.09","3","28","28.2","1.1","0",".9","53.3",".11","839","1.6","1.9","69","4.7","0","1.5","1.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,933.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Other drinks"
"2302","50A","CASILAN","F","100","Grams"," ","12"," ","1","0","0","0","0","0","1200","0","0","40",".57","0","0",".01","0","1.8","2","0","0","0","0","193","4","376","1600","0","0","8","0","0","7","6.25","2","0","0","0","800","0","90","0","0","1.15","20","0","0","0","0","14.4","0","0","0","0","0","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,123.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Other drinks"
"2303","50A","COCOA POWDER","F","100","Grams"," ","52"," ","1","0","0","40","0","3","130","11.5","0","460","7.22","0",".62","3.9","0","21.7","10.5","38","0","0","0","140","1500","312","1301","0","0","520","0",".48","950","6.25","10.5","5.6","0","0","660",".6","18.5","0",".06","12.79","14","11.5","0",".16","40","3","0","0","7","0",".1","0","0",".7","3.4","6.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0.0,0.0,0.0,933.0,"From INTAKE24 GHGs by The Rowett Institute, University of Aberdeen, contact Ruth Slater\n","Other drinks"
