FoodNumber,FoodName,CO2e,CO2eRef
1238,"IRISH STEW CANNED",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1239,"LUNCHEON MEAT PORK CANNED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1240,"BAKED BEANS IN TOMATO SAUCE WITH PORK SAUSAGES", 57.8,"Average of CO2e values for Soybean from From Clune et al 2017, multiplied by1"
1241,"STEAK AND KIDNEY PIE CANNED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1242,"STEAK AND KIDNEY PUDDING CANNED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1243,"STEWING STEAK IN GRAVY PIE FILLING CANNED",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1244,"STEWING STEAK / MEATBALLS IN GRAVY CANNED",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1245,"OX/LAMB TONGUE CANNED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1246,"VEAL JELLIED CANNED",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1247,"BLACK PUDDING BOILED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1248,"BLACK PUDDING FRIED",  100,"A guess assuming blood is free but there is some processing"
1249,"BRAWN",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1250,"FAGGOTS IN GRAVY READY MEAL",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1251,"HAGGIS BOILED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1252,"HAGGIS BATTERED FRIED COMM OIL",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1253,"HAGGIS BATTERED FRIED DRIPPING",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1254,"HAGGIS BATTERED FRIED LARD",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1255,"HASLET",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1256,"LIVER PATE CANNED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1257,"LIVER PATE DELI",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1258,"LIVER PATE PLASTIC WRAPPED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1259,"LIVER SAUSAGE",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1260,"MEAT LOAF DELICATESSEN",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1261,"MEAT PASTE CANNED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1262,"MEAT PASTE NOT CANNED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1263,"WHITE PUDDING",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1265,"BEEFBURGERS 100% BEEF FROZEN RAW",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1266,"BEEFBURGERS 100% FRIED",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1267,"BEEFBURGERS WITH ONION FROZEN RAW",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1268,"BEEFBURGER & ONION FRIED NOT 100% MEAT",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1269,"BEEFBURGERS ECONOMY FROZEN RAW",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1270,"BEEFBURGER HAMBURG ECONOMY FRIED NOT CANNED OR LO",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1271,"FRANKFURTER",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1272,"FRANKFURTER CANNED",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1273,"POLONY",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1274,"SALAMI",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1275,"SAUSAGES, BEEF, RAW",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1276,"SAUSAGES BEEF FRIED",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1277,"SAUSAGES, BEEF, GRILLED",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1278,"SAUSAGES, PORK, RAW",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1279,"SAUSAGES,  PORK, FRIED",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1280,"SAUSAGES, PORK, GRILLED",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1281,"SAUSAGES, PORK AND BEEF, RAW",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1282,"SAUSAGES, PORK AND BEEF, GRILLED, FRIED",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1283,"SAUSAGES, LOW FAT, PORK, GRILLED",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1284,"SAUSAGE IN BATTER FRY BLENDED",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1286,"SAUSAGE IN BATTER FRIED LARD",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1287,"SAUSAGE IN BATTER FRY PUFA OIL",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1288,"SAUSAGE IN BATTER FRY COMM OIL",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1289,"GRILLSTEAKS BEEF FRIED OR GRILLED",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1290,"SAVELOY",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1291,"BRIDIES SCOTCH PIES",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1292,"MINCED BEEF PIE PURCHASED TWO CRUSTS",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1293,"BEEF AND POTATO PIE",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1294,"BEEF & POTATO PIE 2 CRUSTS",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1295,"CORNISH PASTIE HOMEMADE",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1296,"BACON AND EGG PIE",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1299,"CORNISH PASTIE PURCHASED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1300,"MINCED BEEF PIE PURCHASED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1301,"MINCED BEEF PIE PASTRY TOP & BOTTOM",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1302,"MINCED BEEF PIE TOP PASTRY",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1303,"PORK AND EGG PIE",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1304,"PORK PIE INDIVIDUAL",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1305,"PORK PIE SLICED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1306,"SAUSAGE ROLL FLAKY PASTRY",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1307,"SAUSAGE ROLL SHORTCRUST PASTRY",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1308,"SAUSAGE ROLL SHORTCRUST PASTRY PURCHASED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1309,"STEAK PIE PASTRY TOP ONLY",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1310,"STEAK PIE PASTRY TOP & BOTTOM",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1312,"STEAK & KIDNEY PIE PASTRY TOP",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1313,"STEAK & KIDNEY PIE 2 CRUSTS INDIV. S/C PAST",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1314,"STEAK & KID PIE 2 CRUSTS S/C PASTRY NOT IND. OR CA",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1315,"BACON AND EGG IN A MUFFIN, BAGEL OR ROLL TAKEAWAY",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1316,"BEEFBURGER BATTER FRY COMM OIL",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1317,"BEEF CHOW MEIN",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1319,"BEEF CURRY WITH SPINACH CAN TOMS",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1320,"ROAST BEEF DINNER WITH YORKSHIRE PUD POTATOES VEG",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1321,"ROAST BEEF IN GRAVY PURCHASED READY MEAL",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1322,"BEEFSTEAK PUDDING SUET PASTRY",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1323,"BOLOGNESE SAUCE",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1324,"CANNELLONI BEEF",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1325,"CHILI CON CARNE",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1326,"CHINESE MEAT BUNS",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1327,"CORNED BEEF HASH",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1328,"BEEF CURRY WITH CREAM OR COCONUT SAUCE",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1329,"BEEF BIRYANI",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1330,"HAMBURGER IN BUN TAKEAWAY",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1331,"SPARE RIBS IN BARBECUE SAUCE NO BONES",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1332,"MEAT CHOP SUEY PORK BEEF LAMB",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1333,"CHEESEBURGER TAKEAWAY NOT QTER POUNDER",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1334,"SPECIAL FRIED RICE",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
1335,"CHINESE LUNCHEON MEAT STEAMED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1336,"HAMBURGER QUARTER POUNDER TAKEAWAY",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1337,"GARLIC SAUSAGE",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1338,"LUNCHEON MEAT NOT CANNED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1339,"HAMBURGER QUARTER POUNDER WITH CHEESE TAKEAWAY",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1340,"HAMBURGER BIG MAC MC DONALDS",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1341,"CORNED BEEF NOT CANNED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1342,"DONER KEBAB",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1343,"KOFTE KEBAB",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1344,"SHISH KEBAB",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1347,"LASAGNE BEEF, READY MEAL",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1348,"LASAGNE HOMEMADE",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1349,"MEAT LOAF HOMEMADE",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1350,"MOUSSAKA WITH POTATOES HOMEMADE",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1351,"SPRING ROLL WITH MEAT FILLING",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1352,"PORK ROAST DINNER FROZEN READY MEAL",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1353,"ROAST PORK IN GRAVY FROZEN READY MEAL NO POTS/VEG",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1354,"SAMOSA-MEAT FILLED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1355,"SPARE RIBS, BARBECUE STYLE, EG TAKEAWAY, WITH BONES",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1356,"COTTAGE PIE, FROZEN/CHILLED BEEF READY MEAL",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1357,"COTTAGE PIE",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1358,"SWEET AND SOUR PORK, BATTERED WITH/WITHOUT SAUCE",  466,"Average of CO2e values for Pork from From Clune et al 2017, multiplied by0.8"
1362,"CHICKEN CURRY KORMA STYLE WITH CREAM OR COCONUT",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1363,"CHICKEN CURRY CREAM SAUCE NO BONE",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1364,"MOUSSAKA WITH AUBERGINES HOMEMADE",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1365,"SHEPHERDS PIE MADE WITH BUTTER/MARG IN POTATO",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1366,"CHICKEN CHOP SUEY TAKEAWAY",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1367,"CHICKEN CHOW MEIN",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1370,"SOYA MINCE CANNED", 21.3,"Average of CO2e values for Carrots from From Clune et al 2017, multiplied by1"
1371,"SOYA MINCE GRANULES DRY", 21.3,"Average of CO2e values for Carrots from From Clune et al 2017, multiplied by1"
1372,"CHICKEN ROAST LIGHT MEAT AND SKIN NO BONES",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1373,"CHICKEN WING QUARTER STEWED MEAT + SKIN",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1374,"CHICKEN LEG QUARTER ROAST MEAT AND SKIN NO BONES",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1375,"CHICKEN LEG QUARTER STEWED MEAT AND SKIN NO BONES",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1376,"SOYA MINCE AS MADE UP", 21.3,"Average of CO2e values for Carrots from From Clune et al 2017, multiplied by1"
1377,"STEAK & KIDNEY PIE 2 CRUST S/C",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1378,"INDIVIDUAL STEAK PIE FLAKY PUR",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1379,"INDIV STEAK & KIDNEY PIE FLAKY",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1380,"TURKEY BURGER TURKEY STEAK COATED GRILLED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1381,"STEAK & KIDNEY PUDD NOT CANNED",  329,"Average of CO2e values for Chicken from From Clune et al 2017, multiplied by0.8"
1382,"LOW FAT BEEFBURGERS GRILLED",2.3e+03,"Average of CO2e values for Beef from From Clune et al 2017, multiplied by0.8"
1401,"COD FILLET RAW",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1403,"COD BAKED WITH BUTTER",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1404,"COD BAKED WITH BUTTER WEIGHED WITH BONES",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1405,"COD HADDOCK FRY BLENDED NOCOAT",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1406,"COD HADDOCK FRY BUTTER NOCOAT",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1408,"COD HADDOCK FRY LARD NOCOATING",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1409,"COD FRIED IN MARG NO COATING",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1410,"COD FRIED IN PUFA NO COATING",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1411,"COD IN BATTER FRY BLENDED OIL",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1412,"COD IN BATTER FRY IN DRIPPING",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1413,"COD IN BATTER FRIED IN LARD",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1414,"COD IN BATTER FRIED PUFA OIL",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1415,"COD IN BATTER FRIED IN COMMERCIAL OIL",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1416,"COD IN BREADCRUMBS FRY BLENDED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1418,"COD IN BREADCRUMBS FRIED LARD",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1419,"COD IN BREADCRUMBS FRIED PUFA",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1420,"COD STEAMED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1422,"COD HADDOCK POACHED IN MILK",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1423,"COD SMOKED RAW",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1424,"COD SMOKED STEAMED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1445,"COD SMOKED POACHED IN MILK & BUTTER",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1446,"COD DRIED SALTED BOILED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1447,"HALIBUT RAW",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1448,"HALIBUT STEAMED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1449,"HALIBUT STEAMED WEIGHED WITH BONES",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1450,"LEMON SOLE RAW",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1451,"LEMON SOLE STEAMED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1452,"LEMON SOLE STEAMED WEIGHED WITH BONES",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1453,"LEMON SOLE FLOUR FRY BLENDED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1454,"LEMON SOLE FLOUR FRY BUTTER",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1455,"LEMON SOLE FLOUR FRY HARDMARG",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1456,"LEMON SOLE FLOUR FRY PUFA MARG",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1457,"SOLE IN CRUMBS FRIED BLENDED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1458,"SOLE IN BREADCRUMBS FRY BUTTER",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1459,"SOLE BREADCRUMBS FRY HARDMARG",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1460,"SOLE IN CRUMBS FRIED PUFA OIL",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1461,"PLAICE FRESH RAW",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1462,"PLAICE STEAMED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1463,"PLAICE STEAMED WEIGHED WITH BONES",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1464,"PLAICE IN BATTER FRIED BLENDED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1466,"PLAICE IN BATTER FRIED LARD",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1467,"PLAICE IN BATTER FRY PUFA OIL",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1468,"PLAICE IN BATTER FRIED IN COMMERCIAL BLENDED OIL",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1469,"PLAICE IN CRUMBS FRIED BLENDED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1470,"PLAICE IN CRUMBS FRY DRIPPING",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1471,"PLAICE IN CRUMBS FRIED LARD",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1472,"PLAICE IN CRUMBS FRIED PUFA",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1473,"WHITING STEAMED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1474,"WHITING STEAMED WEIGHED WITH BONES",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1475,"PLAICE NO BONES FLOUR BLENDED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1476,"PLAICE NOBONES FLOUR DRIPPING",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1477,"PLAICE NOBONES FLOUR FRY LARD",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1478,"PLAICE NOBONES FLOUR FRY PUFA",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1479,"WHITING WITH BONES IN FLOUR FRIED IN BLENDED OIL",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1481,"WHITING WITH BONES IN FLOUR FRIED IN LARD",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1482,"WHITING WITH BONES IN FLOUR FRIED IN PUFA",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1483,"EEL RAW",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1484,"EEL STEWED FLESH ONLY",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1485,"EEL JELLIED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1486,"HERRING RAW",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1487,"HERRING NO BONES COATED BLENDED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1488,"HERRING NO BONE COATED DRIPPING",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1489,"HERRING NO BONE COATED FRY LARD",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1490,"HERRING NO BONE COATED FRY PUFA",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1491,"HERRING COATED FLOUR FRIED BLEND VEG OIL WITH BONE",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1493,"HERRING WITH BONES COATED FRIED IN LARD",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1494,"HERRING WITH BONES COATED FRIED IN PUFA OIL",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1495,"HERRING GRILLED NO BONES",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1496,"HERRING GRILLED WEIGHED WITH BONES",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1497,"HERRING CANNED IN TOMATO SAUCE",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1498,"HERRING CANNED IN OIL FISH ONLY",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1499,"HERRINGS PICKLED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1500,"BLOATER GRILLED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1501,"BLOATER GRILLED WEIGHED WITH BONES",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1502,"KIPPER BAKED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1503,"KIPPER BAKED WEIGHED WITH BONES",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1504,"KIPPER NO BONES BAKED BUTTER",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1505,"KIPPER WITH BONES BAKED BUTTER",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1506,"MACKEREL RAW",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1507,"MACKEREL NO BONE COATED BLENDED",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1508,"MACKEREL NO BONES COATED DRIPPING",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1509,"MACKEREL NO BONES COATED LARD",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1510,"MACKEREL NO BONES COATED PUFA",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1511,"MACKEREL WITH BONES COATED FRIED IN BLENDED OIL",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1513,"MACKEREL WITH BONES FRIED IN LARD",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1514,"MACKEREL WITH BONES FRIED IN PUFA OIL",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1515,"MACKEREL CANNED IN OIL FISH ONLY",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1516,"MACKEREL UNSMOKED CANNED FISH AND OIL",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1517,"MACKEREL CANNED IN BRINE FISH ONLY",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1518,"MACKEREL IN TOMATO SAUCE",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
1519,"SALMON, RAW",  269,"Average of CO2e values for Haddock from From Clune et al 2017, multiplied by0.8"
